"adult","budget","genres","homepage","imdb_id","keywords","movie_id","original_language","overview","popularity","popularity_category","poster_url","production_companies","profit","release_date","release_year","revenue","roi","runtime","spoken_languages","status","tagline","title","vote_average","vote_count"
"False","0","Action, War","","tt32044730","","1373723","en","War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","310.8395","Medium","https://image.tmdb.org/t/p/w500/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg","","0","2025-03-20","2025","0","0","92","English","Released","","The Codes of War","7.8","20"
"False","0","Action, Crime, Thriller","https://www.amazon.com/salp/aworkingman?hhf","tt9150192","based on novel or book, kidnapping, vigilante, missing person, black ops, construction worker, criminal conspiracy","1197306","en","Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","326.9602","Medium","https://image.tmdb.org/t/p/w500/bkbmInoAnEaMH4oxpXAXWwKr8Kd.jpg","Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5","0","2025-03-26","2025","0","0","116","English, Español, Pусский","Released","Human traffickers beware.","A Working Man","6.9","79"
"False","250000","Horror, Thriller, Fantasy","https://www.itnfilms.net/catalog/peter-pan's-neverland-nightmare","tt21955520","peter pan, slasher, based on children's book, child abduction, magic land, independent film, violence against a child, the twisted childhood universe","1020414","en","Wendy Darling strikes out in an attempt to rescue her brother Michael from the clutches of the evil Peter Pan who intends to send him to Neverland. Along the way she meets a twisted Tinkerbell, who is hooked on what she thinks is fairy dust.","181.6043","Medium","https://image.tmdb.org/t/p/w500/mOR1Ks0EcXocwMV4EPv4letz0F5.jpg","Jagged Edge Productions","65648","2025-01-13","2025","315648","0.262592","89","English","Released","He's every parent's worst nightmare.","Peter Pan's Neverland Nightmare","5.8","24"
"False","0","Animation, Action","https://www.warnerbros.com/movies/batman-ninja-vs-yakuza-league","tt32508210","based on comic, duringcreditsstinger","1297763","ja","The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!","135.972","Medium","https://image.tmdb.org/t/p/w500/sVVT6GYFErVv0Lcc9NvqCu0iOxO.jpg","Kamikaze Douga, Warner Bros. Japan, DC, Warner Bros. Animation","0","2025-03-17","2025","0","0","90","日本語, English","Released","","Batman Ninja vs. Yakuza League","6.8","101"
"False","122000000","Action, Science Fiction, Comedy, Family, Adventure, Fantasy","https://www.sonicthehedgehogmovie.com","tt18259086","moon, sequel, based on video game, dual role, aftercreditsstinger, duringcreditsstinger, hedgehog, live action and animation, grandfather grandson relationship, animal human friendship, anthropomorphic animal, loss and grief, cliché, complicated, sceptical","939243","en","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","135.3038","Medium","https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg","Paramount Pictures, Original Film, Marza Animation Planet, SEGA, Blur Studio, SEGA of America","364018457","2024-12-19","2024","486018457","2.983757844262295","110","English","Released","New adventure. New rival.","Sonic the Hedgehog 3","7.8","2308"
"False","70000000","Romance, Science Fiction, Thriller","https://tv.apple.com/movie/umc.cmc.26o403koqo2klixc0jtqy6tmc","tt13654226","canyon, fog, romance, tower, elite sniper, snipers, long-term observation","950396","en","Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.","122.369","Medium","https://image.tmdb.org/t/p/w500/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg","Skydance Media, Crooked Highway, Apple Studios","-70000000","2025-02-13","2025","0","-1.0","127","English, Lietuvių","Released","The world's most dangerous secret lies between them.","The Gorge","7.737","2226"
"False","1100000","Action, Crime, Thriller","https://hellhoundthemovie.com/","tt22489042","","1217379","en","Ready to leave his profession behind, Loreno, an assassin, lends help to an old friend, Cetan, and taking one last job in Thailand seeking out a local kingpin. A lapse in judgment means Loreno crosses paths with old colleague Paul.","93.6012","Low","https://image.tmdb.org/t/p/w500/h1BtcTEk0pbe9XhbxrAp2oLKoWb.jpg","","-1100000","2024-06-20","2024","0","-1.0","103","English","Released","Fight like a god. Die like a man.","Hellhound","6.5","33"
"False","320000000","Science Fiction, Adventure, Action","https://www.netflix.com/title/81601562","tt7766378","man vs machine, artificial intelligence (a.i.), based on novel or book, technology, dystopia, robot, 1990s, young, missing brother, witty, comedy, depressing, baffled","777443","en","An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.","83.2744","Low","https://image.tmdb.org/t/p/w500/1TZ9Er1xEAKizzKKqYVgJIhNkN2.jpg","AGBO, Skybound Entertainment","-320000000","2025-03-07","2025","0","-1.0","125","English","Released","Rage with the machines.","The Electric State","6.567","883"
"False","0","Action, Crime","","tt30287778","sequel, police chase","995926","ko","The veteran detective Seo Do-cheol and his team at Major Crimes, relentless in their pursuit of criminals, join forces with rookie cop Park Sun-woo to track down a serial killer who has plunged the nation into turmoil.","75.8483","Low","https://image.tmdb.org/t/p/w500/gAtP0usArK5gVOBObnsENKLwML8.jpg","Filmmaker R&K, CJ Entertainment","53453611","2024-09-13","2024","53453611","inf","118","한국어/조선말","Released","Don't cross the line.","I, the Executioner","7.0","45"
"False","0","Horror, Thriller, Science Fiction","","tt16897732","argentina","912032","es","Alina is a movie sound engineer. One day she receives an offer to do the direct sound for an erotic film featuring Maria Black, a famous star of the genre who had already retired. When Maria has a heart attack and dies in the middle of the shoot, and the producers decide not to call the police, a series of sinister and unexpected events are unleashed that will endanger everyone's lives.","78.0397","Low","https://image.tmdb.org/t/p/w500/cGkYqV8Z6hagqpSYaBB3qPsYffi.jpg","","0","2024-06-13","2024","0","0","72","Español","Released","","Mar.IA","0.0","0"
